# Location,East River
# Site,Irwin Barn
# PitID,COERIB
# Date/Local Time,2020-01-17T10:30
# UTM Zone,13N
# Easting,317172
# Northing,4306473
# Latitude,38.88812
# Longitude,-107.10796
"# Top
(cm)","Bottom
(cm)",Avg Density (kg/m3),Permittivity A,Permittivity B,LWC-vol A (%),LWC-vol B (%)
140.0,130.0,87.0,NaN,NaN,NaN,NaN
130.0,120.0,137.5,NaN,NaN,NaN,NaN
120.0,110.0,165.5,NaN,NaN,NaN,NaN
110.0,100.0,210.5,NaN,NaN,NaN,NaN
100.0,90.0,232.0,NaN,NaN,NaN,NaN
90.0,80.0,269.0,NaN,NaN,NaN,NaN
80.0,70.0,305.0,NaN,NaN,NaN,NaN
70.0,60.0,307.5,NaN,NaN,NaN,NaN
60.0,50.0,318.5,NaN,NaN,NaN,NaN
50.0,40.0,322.5,NaN,NaN,NaN,NaN
40.0,30.0,350.3333333333333,NaN,NaN,NaN,NaN
30.0,20.0,338.0,NaN,NaN,NaN,NaN
20.0,10.0,325.6666666666667,NaN,NaN,NaN,NaN
12.0,2.0,280.0,NaN,NaN,NaN,NaN
