# Location,CB
# Site,F14
# PitID,3
# Date/Local Time,2020-04-28T11:15
# UTM Zone,13N
# Easting,328576
# Northing,4310759
# Latitude,38.92902
# Longitude,-106.97762
# Top (cm),Bottom (cm),Density A (kg/m3),Density B (kg/m3),Density C (kg/m3)
100.0,90.0,356.0,375.0,NaN
90.0,80.0,415.0,423.0,NaN
80.0,70.0,376.0,363.0,NaN
70.0,60.0,385.0,369.0,NaN
60.0,50.0,353.0,357.0,NaN
50.0,40.0,327.0,335.0,NaN
40.0,30.0,382.0,381.0,NaN
30.0,20.0,358.0,352.0,NaN
20.0,10.0,342.0,362.0,NaN
10.0,0.0,345.0,349.0,NaN
