# Location,Grand Mesa
# Site,Skyway Tree
# PitID,COGMST
# Date/Local Time,2020-03-12T14:45
# UTM Zone,12N
# Easting,754171
# Northing,4325869
# Latitude,39.04494
# Longitude,-108.06313
# Depth (cm),Temperature (deg C)
82.0,-0.2
80.0,-0.2
70.0,-2.2
60.0,-2.6
50.0,-2.6
40.0,-2.5
30.0,-2.3
20.0,-2.1
10.0,-2.0
0.0,-1.6
