# Location,Niwot Ridge
# Site,C1
# PitID,CONWC1
# Date/Local Time,2020-03-11T08:16
# UTM Zone,13N
# Easting (m),453402
# Northing (m),4431582
# Latitude (deg),40.03317
# Longitude (deg),-105.54616
# Slope (deg),0
# Aspect (deg),90
# Air Temp (deg C),-2
# Total Depth (cm),108
# Surveyors,"A. Fitts, D. Manning"
# WISe Serial No,WIS021A
# Weather,"clear, windy"
# Precip,None
# Sky,Clear
# Wind,Strong
# Ground Condition,Frozen
# Ground Roughness,Rough
# Ground Vegetation,Shrub
# Vegetation Depth,
# Tree Canopy,Open (20-70%)
# Comments:,temp profile start: 8:28 temp profile end: 8:39
