# Location,Senator Beck
# Site,Senator Beck
# PitID,COSBSB
# Date/Local Time,2019-12-18T14:15
# UTM Zone,13N
# Easting,260318
# Northing,4199007
# Latitude,37.90705
# Longitude,-107.72625
# Top (cm),Bottom (cm),Density A (kg/m3),Density B (kg/m3),Density C (kg/m3)
105.0,95.0,244.0,243.0,NaN
95.0,85.0,293.0,246.0,NaN
85.0,75.0,420.0,311.0,NaN
75.0,65.0,405.0,407.0,NaN
65.0,55.0,305.0,277.0,NaN
55.0,45.0,304.0,310.0,NaN
45.0,35.0,352.0,352.0,NaN
35.0,25.0,351.0,361.0,NaN
25.0,15.0,310.0,299.0,NaN
15.0,5.0,315.0,284.0,NaN
