# Location,Sagehen
# Site,Tower 4
# PitID,CASHT4
# Date/Local Time,2020-02-26T12:01
# UTM Zone,10N
# Easting (m),732507
# Northing (m),4367108
# Latitude (deg),39.42216
# Longitude (deg),-120.29898
# Slope (deg),5
# Aspect (deg),203
# Air Temp (deg C),5
# Total Depth (cm),92
# Surveyors,"J. Tarricone, L. Bolotin"
# WISe Serial No,WIS010A
# Weather,"sunny, light breeze, no clouds"
# Precip,None
# Sky,Clear
# Wind,Light
# Ground Condition,Moist
# Ground Roughness,Smooth
# Ground Vegetation,Bare
# Vegetation Depth,
# Tree Canopy,No Trees
# Comments:,5 cm ice layer near surface prevented LWC measurement at 92-82cm
