# Location,Jemez River
# Site,BA Flux Tower
# PitID,NMJRBA
# Date/Local Time,2020-02-12T13:37
# UTM Zone,13N
# Easting (m),361740
# Northing (m),3972675
# Latitude (deg),35.88859
# Longitude (deg),-106.53184
# Slope (deg),NaN
# Aspect (deg),NaN
# Air Temp (deg C),NaN
# Total Depth (cm),nan
# Surveyors,A. Rice
# WISe Serial No,nan
# Weather,"Partly overcast (broken), approaching storm from W-NW"
# Precip,None
# Sky,Broken (> 1/2 of sky)
# Wind,Light
# Ground Condition,nan
# Ground Roughness,nan
# Ground Vegetation,NaN
# Vegetation Depth,
# Tree Canopy,No Trees
# Comments:,Unable to dig pit due to limited time (late park opening due to storm)
