# Location,CB
# Site,Trench13SouthEdge
# PitID,1
# Date/Local Time,2020-02-02T00:00
# UTM Zone,13N
# Easting (m),328570
# Northing (m),4310779
# Latitude (deg),38.9292
# Longitude (deg),-106.9777
# Slope (deg),NaN
# Aspect (deg),NaN
# Air Temp (deg C),-1.7
# Total Depth (cm),81
# Surveyors,"LH, ER"
# Weather,nan
# Precip,None
# Sky,Clear
# Wind,Calm
# Ground Condition,Frozen
# Ground Roughness,Smooth
# Ground Vegetation,Grass
# Vegetation Depth,10
# Tree Canopy,Closed (>70%)
# Comments:,South edge of canopy; 31-21 cm debris present
