# Location,CB
# Site,O2
# PitID,3
# Date/Local Time,2020-04-27T12:45
# UTM Zone,13N
# Easting (m),328501
# Northing (m),4310480
# Latitude (deg),38.92649
# Longitude (deg),-106.97842
# Slope (deg),9
# Aspect (deg),130
# Air Temp (deg C),7
# Total Depth (cm),85
# Surveyors,IH
# Weather,nan
# Precip,None
# Sky,Scattered (1/4 - 1/2 of sky)
# Wind,Calm
# Ground Condition,Saturated
# Ground Roughness,Smooth
# Ground Vegetation,Grass
# Vegetation Depth,25
# Tree Canopy,No Trees
# Comments:,"Very warm. Convective clouds, light wind developing"
