# Location,NW
# Site,FS
# PitID,1
# Date/Local Time,2020-03-11T10:00
# UTM Zone,13N
# Easting,452462
# Northing,4432383
# Latitude,40.04034
# Longitude,-105.55724
# Top (cm),Bottom (cm),Density A (kg/m3),Density B (kg/m3),Density C (kg/m3)
98.0,88.0,210.0,213.0,NaN
88.0,78.0,333.0,357.0,NaN
78.0,68.0,348.0,396.0,400.0
68.0,58.0,400.0,325.0,382.0
58.0,48.0,308.0,342.0,290.0
48.0,38.0,323.0,305.0,291.0
38.0,28.0,317.0,386.0,304.0
28.0,18.0,315.0,325.0,NaN
18.0,8.0,283.0,386.0,300.0
8.0,0.0,NaN,NaN,NaN
