# Location,Sagehen
# Site,Open
# PitID,CASHOP
# Date/Local Time,2020-02-12T09:38
# UTM Zone,10N
# Easting (m),737572
# Northing (m),4368173
# Latitude (deg),39.43037
# Longitude (deg),-120.23982
# Slope (deg),4
# Aspect (deg),176
# Air Temp (deg C),-2.2
# Total Depth (cm),45
# Surveyors,"J. Tarricone, L. Bolotin"
# WISe Serial No,WIS010A
# Weather,"clear skies, calm"
# Precip,None
# Sky,Clear
# Wind,Calm
# Ground Condition,Frozen
# Ground Roughness,Rough
# Ground Vegetation,Grass
# Vegetation Depth,
# Tree Canopy,No Trees
# Comments:,"Pit wall very ice, making density cuts challenging."
