# Location,Niwot Ridge
# Site,C1
# PitID,CONWC1
# Date/Local Time,2020-02-26T08:20
# UTM Zone,13N
# Easting (m),453402
# Northing (m),4431582
# Latitude (deg),40.03317
# Longitude (deg),-105.54616
# Slope (deg),0
# Aspect (deg),90
# Air Temp (deg C),-11
# Total Depth (cm),116
# Surveyors,"A. Manning, T. Lampard"
# WISe Serial No,nan
# Weather,"clear skies, windy"
# Precip,None
# Sky,Clear
# Wind,Strong
# Ground Condition,Frozen
# Ground Roughness,Rough
# Ground Vegetation,Shrub
# Vegetation Depth,10
# Tree Canopy,Open (20-70%)
# Comments:,nan
