# Location,NW
# Site,FS
# PitID,2
# Date/Local Time,2020-05-13T09:30
# UTM Zone,13N
# Easting,452490
# Northing,4432387
# Latitude,40.04037
# Longitude,-105.55691
# Top (cm),Bottom (cm),Grain Size (mm),Grain Type,Hand Hardness,Manual Wetness,Comments
74.0,60.0,NaN,NaN,NaN,NaN,Melt layer
60.0,58.0,NaN,NaN,NaN,NaN,ice lense
58.0,51.0,NaN,NaN,NaN,NaN,compacted snow
51.0,50.0,NaN,NaN,NaN,NaN,ice lense
50.0,24.0,NaN,NaN,NaN,NaN,faceted
24.0,12.0,NaN,NaN,NaN,NaN,large facets
12.0,0.0,NaN,NaN,NaN,NaN,depth hoar
