# Location,NW
# Site,FS
# PitID,2
# Date/Local Time,2020-05-13T09:30
# UTM Zone,13N
# Easting (m),452490
# Northing (m),4432387
# Latitude (deg),40.04037
# Longitude (deg),-105.55691
# Slope (deg),NaN
# Aspect (deg),S
# Air Temp (deg C),NaN
# Total Depth (cm),74
# Surveyors,"AM, ES"
# Weather,nan
# Precip,None
# Sky,Clear
# Wind,Light
# Ground Condition,Frozen
# Ground Roughness,Rough
# Ground Vegetation,"Shrub,Deadfall"
# Vegetation Depth,
# Tree Canopy,Closed (>70%)
# Comments:,3160 m elev
