# Location,Senator Beck
# Site,Senator Beck
# PitID,COSBSB
# Date/Local Time,2020-03-04T12:15
# UTM Zone,13N
# Easting,260318
# Northing,4199007
# Latitude,37.90705
# Longitude,-107.72625
# Top (cm),Bottom (cm),Grain Size (mm),Grain Type,Hand Hardness,Manual Wetness,Comments
128.0,122.0,< 1 mm,DF,F,D,Near-Surface Faceted Grains (NSFG)
122.0,120.0,< 1 mm,RG,P,D,NaN
120.0,98.0,1-2 mm,RG,1F,D,NaN
98.0,90.0,< 1 mm,RG,P,D,NaN
90.0,67.0,1-2 mm,RG,1F,D,Mixed forms
67.0,17.0,1-2 mm,RG,P,D,Mixed forms
17.0,0.0,2-4 mm,FC,P,D,Mixed forms; field notes indicate HH varied P-1F
