# Location,Senator Beck
# Site,Senator Beck
# PitID,COSBSB
# Date/Local Time,2020-03-04T12:15
# UTM Zone,13N
# Easting (m),260318
# Northing (m),4199007
# Latitude (deg),37.90705
# Longitude (deg),-107.72625
# Slope (deg),3
# Aspect (deg),63
# Air Temp (deg C),-2.4
# Total Depth (cm),128
# Surveyors,"A. Gleason, M. Cecil, C. Smith, S. Englund"
# WISe Serial No,nan
# Weather,"Clear skies, building clouds to SE, winds W: 10-15mph"
# Precip,None
# Sky,Clear
# Wind,Light
# Ground Condition,Frozen
# Ground Roughness,Rough
# Ground Vegetation,Grass
# Vegetation Depth,15
# Tree Canopy,No Trees
# Comments:,nan
