# Location,CB
# Site,O6
# PitID,2
# Date/Local Time,2020-04-27T14:30
# UTM Zone,13N
# Easting (m),328364
# Northing (m),4310519
# Latitude (deg),38.92681
# Longitude (deg),-106.98001
# Slope (deg),6
# Aspect (deg),113
# Air Temp (deg C),7.5
# Total Depth (cm),93
# Surveyors,IH
# Weather,nan
# Precip,None
# Sky,Broken (> 1/2 of sky)
# Wind,Light
# Ground Condition,Saturated
# Ground Roughness,Smooth
# Ground Vegetation,Grass
# Vegetation Depth,25
# Tree Canopy,No Trees
# Comments:,Some previous (old) ski tracks in vincinity. Elev: 10390'
