# Location,Senator Beck
# Site,Senator Beck
# PitID,COSBSB
# Date/Local Time,2020-02-01T09:50
# UTM Zone,13N
# Easting (m),260318
# Northing (m),4199007
# Latitude (deg),37.90705
# Longitude (deg),-107.72625
# Slope (deg),2
# Aspect (deg),142
# Air Temp (deg C),-1.4
# Total Depth (cm),111
# Surveyors,"A. Gleason, M. Cecil, S. Englund"
# WISe Serial No,nan
# Weather,"Scattered cirrus, winds 10-20mph WNW; gusts to 30mph; IB: Storm board initially placed 2020-01-12; wind slab"
# Precip,None
# Sky,Scattered (1/4 - 1/2 of sky)
# Wind,Moderate
# Ground Condition,Frozen
# Ground Roughness,Rough
# Ground Vegetation,Grass
# Vegetation Depth,5-10
# Tree Canopy,No Trees
# Comments:, Wind slabs are variable.
