# Location,Senator Beck
# Site,Senator Beck
# PitID,COSBSB
# Date/Local Time,2020-02-01T09:50
# UTM Zone,13N
# Easting,260318
# Northing,4199007
# Latitude,37.90705
# Longitude,-107.72625
# Top (cm),Bottom (cm),Density A (kg/m3),Density B (kg/m3),Density C (kg/m3)
111.0,101.0,225.0,213.0,NaN
101.0,91.0,336.0,405.0,NaN
91.0,81.0,319.0,300.0,NaN
81.0,71.0,335.0,317.0,NaN
71.0,61.0,423.0,417.0,NaN
61.0,51.0,390.0,400.0,NaN
51.0,41.0,380.0,362.0,NaN
41.0,31.0,400.0,400.0,NaN
31.0,21.0,393.0,385.0,NaN
21.0,11.0,380.0,349.0,NaN
11.0,1.0,299.0,329.0,NaN
