# Location,NW
# Site,FN
# PitID,2
# Date/Local Time,2020-05-13T09:44
# UTM Zone,13N
# Easting,452713
# Northing,4431634
# Latitude,40.0336
# Longitude,-105.55424
# Top (cm),Bottom (cm),Density A (kg/m3),Density B (kg/m3),Density C (kg/m3)
116.0,106.0,351.0,414.0,398.0
96.0,86.0,383.0,382.0,NaN
86.0,76.0,372.0,415.0,408.0
76.0,66.0,424.0,423.0,NaN
66.0,56.0,398.0,412.0,NaN
56.0,46.0,327.0,346.0,NaN
46.0,36.0,354.0,385.0,355.0
36.0,26.0,340.0,362.0,345.0
26.0,16.0,352.0,392.0,NaN
16.0,6.0,327.0,414.0,NaN
