# Location,Sagehen
# Site,Open
# PitID,CASHOP
# Date/Local Time,2020-01-29T10:57
# UTM Zone,10N
# Easting (m),737572
# Northing (m),4368173
# Latitude (deg),39.43037
# Longitude (deg),-120.23982
# Slope (deg),4
# Aspect (deg),176
# Air Temp (deg C),5.2
# Total Depth (cm),50
# Surveyors,"H. Middleton, J. Tarricone, M. Johnson"
# WISe Serial No,WIS010A
# Weather,"slightly overcast, no wind"
# Precip,None
# Sky,Scattered (1/4 - 1/2 of sky)
# Wind,Calm
# Ground Condition,Frozen
# Ground Roughness,Rough
# Ground Vegetation,Grass
# Vegetation Depth,
# Tree Canopy,No Trees
# Comments:,frozen melt layers throughout snowpack
