# Location,Fraser
# Site,SNB #1
# PitID,COFEB1
# Date/Local Time,2020-02-21T13:50
# UTM Zone,13N
# Easting (m),424968
# Northing (m),4417802
# Latitude (deg),39.90698
# Longitude (deg),-105.87781
# Slope (deg),1
# Aspect (deg),NaN
# Air Temp (deg C),-1
# Total Depth (cm),109
# Surveyors,C. Quant
# WISe Serial No,nan
# Weather,nan
# Precip,None
# Sky,Clear
# Wind,Calm
# Ground Condition,Frozen
# Ground Roughness,Rough
# Ground Vegetation,Grass
# Vegetation Depth,18
# Tree Canopy,No Trees
# Comments:,Dense deadfall at surface  NO soil moisture measurments taken
