# Location,NW
# Site,FN
# PitID,1
# Date/Local Time,2020-02-12T13:35
# UTM Zone,13N
# Easting,453410
# Northing,4431465
# Latitude,40.03212
# Longitude,-105.54606
# Top (cm),Bottom (cm),Density A (kg/m3),Density B (kg/m3),Density C (kg/m3)
131.0,121.0,108.0,111.0,NaN
121.0,111.0,111.0,110.0,NaN
111.0,101.0,152.0,147.0,NaN
101.0,91.0,151.0,162.0,146.0
91.0,81.0,237.0,251.0,NaN
81.0,71.0,282.0,277.0,NaN
71.0,61.0,304.0,291.0,NaN
61.0,51.0,300.0,294.0,NaN
51.0,41.0,328.0,343.0,NaN
41.0,31.0,320.0,329.0,NaN
31.0,21.0,311.0,319.0,NaN
21.0,11.0,333.0,335.0,NaN
11.0,1.0,305.0,306.0,NaN
