# Location,Fraser
# Site,SNB #1
# PitID,COFEB1
# Date/Local Time,2020-03-04T15:30
# UTM Zone,13N
# Easting (m),424968
# Northing (m),4417802
# Latitude (deg),39.90698
# Longitude (deg),-105.87781
# Slope (deg),0
# Aspect (deg),NaN
# Air Temp (deg C),1
# Total Depth (cm),96
# Surveyors,C. Quant
# WISe Serial No,nan
# Weather,"clear, warm, gusty"
# Precip,None
# Sky,Clear
# Wind,Moderate
# Ground Condition,Frozen
# Ground Roughness,Rugged
# Ground Vegetation,Deadfall
# Vegetation Depth,25
# Tree Canopy,No Trees
# Comments:,"Pit dug 25cm off the ground, on top of deadfall and stumps."
