# Location,CB
# Site,O6
# PitID,3
# Date/Local Time,2020-02-26T15:20
# UTM Zone,13N
# Easting,328389
# Northing,4310504
# Latitude,38.92668
# Longitude,-106.97971
# Top (cm),Bottom (cm),Density A (kg/m3),Density B (kg/m3),Density C (kg/m3)
118.0,108.0,129.0,127.0,NaN
108.0,98.0,227.0,242.0,NaN
98.0,88.0,266.0,298.0,262.0
88.0,78.0,262.0,262.0,NaN
78.0,68.0,297.0,317.0,NaN
68.0,58.0,304.0,334.0,NaN
58.0,48.0,288.0,280.0,NaN
48.0,38.0,305.0,297.0,NaN
38.0,28.0,297.0,320.0,NaN
28.0,18.0,337.0,335.0,NaN
18.0,8.0,350.0,330.0,NaN
