# Location,Boise River Basin
# Site,Banner Snotel
# PitID,IDBRBS
# Date/Local Time,2020-02-27T10:30
# UTM Zone,11N
# Easting,640819
# Northing,4907111
# Latitude,44.30361
# Longitude,-115.23456
"# Top
(cm)","Bottom
(cm)",Avg Density (kg/m3),Permittivity A,Permittivity B,LWC-vol A (%),LWC-vol B (%)
133.0,123.0,137.0,1.178,1.181,0.0,0.0
123.0,113.0,201.0,1.298,1.324,0.08467346809303704,0.21661403940393512
113.0,103.0,244.0,1.309,1.309,0.0,0.0
103.0,93.0,295.6666666666667,1.408,1.403,0.0,0.0
93.0,83.0,293.5,1.426,1.418,0.0,0.0
83.0,73.0,319.0,1.475,1.473,0.0,0.0
73.0,63.0,360.5,1.503,1.565,0.0,0.020258698455199304
63.0,53.0,362.0,1.561,1.555,0.0,0.0
53.0,43.0,366.0,1.584,1.571,0.0639307078353576,0.0
43.0,33.0,370.0,1.561,1.575,0.0,0.0
33.0,23.0,344.5,1.519,1.51,0.0,0.0
23.0,13.0,323.5,1.539,1.546,0.2429031813646604,0.2788610655840876
13.0,3.0,NaN,1.457,1.359,NaN,NaN
