# Location,NW
# Site,FN
# PitID,2
# Date/Local Time,2020-03-11T11:30
# UTM Zone,13N
# Easting,452773
# Northing,4431592
# Latitude,40.03323
# Longitude,-105.55354
# Depth (cm),Temperature (deg C)
82.0,-1.0
80.0,-3.5
70.0,-4.0
60.0,-4.0
50.0,-3.0
40.0,-3.0
30.0,-3.5
20.0,-3.0
10.0,-2.0
0.0,-2.0
