# Location,NW
# Site,FN
# PitID,2
# Date/Local Time,2020-03-11T11:30
# UTM Zone,13N
# Easting (m),452773
# Northing (m),4431592
# Latitude (deg),40.03323
# Longitude (deg),-105.55354
# Slope (deg),NaN
# Aspect (deg),N
# Air Temp (deg C),NaN
# Total Depth (cm),82
# Surveyors,"AM, ES"
# Weather,nan
# Precip,None
# Sky,Few (< 1/4 of sky)
# Wind,Moderate
# Ground Condition,Frozen
# Ground Roughness,Rough
# Ground Vegetation,Grass
# Vegetation Depth,
# Tree Canopy,Closed (>70%)
# Comments:,3106m elevation
