# Location,CB
# Site,Trench13SouthOpen
# PitID,1
# Date/Local Time,2020-02-02T10:30
# UTM Zone,13N
# Easting (m),328570
# Northing (m),4310779
# Latitude (deg),38.9292
# Longitude (deg),-106.9777
# Slope (deg),NaN
# Aspect (deg),NaN
# Air Temp (deg C),-3.8
# Total Depth (cm),81
# Surveyors,"LH, ER, ES"
# Weather,nan
# Precip,None
# Sky,Clear
# Wind,Calm
# Ground Condition,Frozen
# Ground Roughness,Smooth
# Ground Vegetation,Grass
# Vegetation Depth,5
# Tree Canopy,Sparse (5-20%)
# Comments:,South open
