# Location,CB
# Site,F13
# PitID,3
# Date/Local Time,2020-04-28T13:00
# UTM Zone,13N
# Easting (m),328566
# Northing (m),4310809
# Latitude (deg),38.92947
# Longitude (deg),-106.97775
# Slope (deg),10
# Aspect (deg),97
# Air Temp (deg C),5.8
# Total Depth (cm),90
# Surveyors,IH
# Weather,nan
# Precip,None
# Sky,Few (< 1/4 of sky)
# Wind,Light
# Ground Condition,Saturated
# Ground Roughness,Smooth
# Ground Vegetation,Grass
# Vegetation Depth,5
# Tree Canopy,Closed (>70%)
# Comments:,nan
