# Location,American
# Site,Caples Lake
# PitID,CAAMCL
# Date/Local Time,2019-12-20T13:00
# UTM Zone,10N
# Easting,757217
# Northing,4288782
# Latitude,38.71029
# Longitude,-120.04186
# Top (cm),Bottom (cm),Density A (kg/m3),Density B (kg/m3),Density C (kg/m3)
120.0,110.0,145.0,158.0,NaN
110.0,100.0,243.0,236.0,NaN
100.0,90.0,256.0,264.0,NaN
90.0,80.0,256.0,256.0,NaN
80.0,70.0,321.0,303.0,316.0
70.0,60.0,277.0,283.0,NaN
60.0,50.0,269.0,274.0,NaN
50.0,40.0,268.0,276.0,NaN
40.0,30.0,300.0,303.0,NaN
30.0,20.0,326.0,334.0,NaN
21.0,11.0,329.0,325.0,NaN
