# Location,Senator Beck
# Site,Swamp Angel
# PitID,COSBSA
# Date/Local Time,2020-01-29T12:05
# UTM Zone,13N
# Easting,261641
# Northing,4198978
# Latitude,37.90714
# Longitude,-107.71121
"# Top
(cm)","Bottom
(cm)",Avg Density (kg/m3),Permittivity A,Permittivity B,LWC-vol A (%),LWC-vol B (%)
161.0,151.0,95.0,NaN,NaN,NaN,NaN
151.0,141.0,121.5,NaN,NaN,NaN,NaN
141.0,131.0,166.0,NaN,NaN,NaN,NaN
131.0,121.0,217.5,NaN,NaN,NaN,NaN
121.0,111.0,261.0,NaN,NaN,NaN,NaN
111.0,101.0,269.0,NaN,NaN,NaN,NaN
101.0,91.0,301.0,NaN,NaN,NaN,NaN
91.0,81.0,330.0,NaN,NaN,NaN,NaN
81.0,71.0,322.5,NaN,NaN,NaN,NaN
71.0,61.0,329.5,NaN,NaN,NaN,NaN
61.0,51.0,331.5,NaN,NaN,NaN,NaN
51.0,41.0,360.0,NaN,NaN,NaN,NaN
41.0,31.0,386.5,NaN,NaN,NaN,NaN
31.0,21.0,379.0,NaN,NaN,NaN,NaN
21.0,11.0,290.0,NaN,NaN,NaN,NaN
11.0,1.0,260.0,NaN,NaN,NaN,NaN
