# Location,Senator Beck
# Site,Swamp Angel
# PitID,COSBSA
# Date/Local Time,2020-01-29T12:05
# UTM Zone,13N
# Easting,261641
# Northing,4198978
# Latitude,37.90714
# Longitude,-107.71121
# Top (cm),Bottom (cm),Density A (kg/m3),Density B (kg/m3),Density C (kg/m3)
161.0,151.0,92.0,98.0,NaN
151.0,141.0,128.0,115.0,NaN
141.0,131.0,158.0,174.0,NaN
131.0,121.0,197.0,238.0,NaN
121.0,111.0,254.0,268.0,NaN
111.0,101.0,262.0,276.0,NaN
101.0,91.0,293.0,309.0,NaN
91.0,81.0,334.0,326.0,NaN
81.0,71.0,325.0,320.0,NaN
71.0,61.0,331.0,328.0,NaN
61.0,51.0,329.0,334.0,NaN
51.0,41.0,358.0,362.0,NaN
41.0,31.0,384.0,389.0,NaN
31.0,21.0,389.0,369.0,NaN
21.0,11.0,288.0,292.0,NaN
11.0,1.0,245.0,275.0,NaN
