# Location,Sagehen
# Site,Open
# PitID,CASHOP
# Date/Local Time,2020-03-04T09:57
# UTM Zone,10N
# Easting (m),737572
# Northing (m),4368173
# Latitude (deg),39.43037
# Longitude (deg),-120.23982
# Slope (deg),4
# Aspect (deg),176
# Air Temp (deg C),9
# Total Depth (cm),29
# Surveyors,"J. Tarricone, H. MiIddleton "
# WISe Serial No,WIS010A
# Weather,"clear, sunny, almost no wind"
# Precip,None
# Sky,Clear
# Wind,Calm
# Ground Condition,Saturated
# Ground Roughness,Smooth
# Ground Vegetation,Bare
# Vegetation Depth,
# Tree Canopy,No Trees
# Comments:,Ice layer at ~7cm is horizontally variable in thickness (2-7cm).
