# Location,Grand Mesa
# Site,County Line Tree
# PitID,COGMCT
# Date/Local Time,2020-02-26T08:55
# UTM Zone,12N
# Easting (m),756712
# Northing (m),4324540
# Latitude (deg),39.03224
# Longitude (deg),-108.03431
# Slope (deg),0
# Aspect (deg),NaN
# Air Temp (deg C),-14.7
# Total Depth (cm),110
# Surveyors,L. Brucker
# WISe Serial No,WIS009A
# Weather,nan
# Precip,None
# Sky,Clear
# Wind,Calm
# Ground Condition,Frozen
# Ground Roughness,Smooth
# Ground Vegetation,"Bare,Shrub"
# Vegetation Depth,"50,40-50"
# Tree Canopy,Closed (>70%)
# Comments:,Temperature measurement start/end time: 8:55/9:05.
