# Location,Fraser
# Site,JPL #1
# PitID,COFEJ1
# Date/Local Time,2020-01-19T10:40
# UTM Zone,13N
# Easting (m),424539
# Northing (m),4417649
# Latitude (deg),39.90557
# Longitude (deg),-105.88281
# Slope (deg),0
# Aspect (deg),NaN
# Air Temp (deg C),NaN
# Total Depth (cm),74
# Surveyors,C. Quant
# WISe Serial No,nan
# Weather,precip = snow
# Precip,Very Light
# Sky,Overcast(complete cover)
# Wind,Light
# Ground Condition,Frozen
# Ground Roughness,Smooth
# Ground Vegetation,Grass
# Vegetation Depth,15
# Tree Canopy,No Trees
# Comments:,No soil moisture taken with Delta-T probe
