# Location,Little Cottonwood
# Site,Alta Collins
# PitID,UTLCAC
# Date/Local Time,2020-02-13T13:45
# UTM Zone,12N
# Easting,446677
# Northing,4491448
# Latitude,40.5721
# Longitude,-111.62997
# Top (cm),Bottom (cm),Density A (kg/m3),Density B (kg/m3),Density C (kg/m3)
265.0,255.0,134.0,NaN,NaN
260.0,250.0,300.0,NaN,NaN
250.0,240.0,278.0,NaN,NaN
240.0,230.0,276.0,NaN,NaN
230.0,220.0,NaN,NaN,NaN
220.0,210.0,334.0,NaN,NaN
210.0,200.0,291.0,NaN,NaN
200.0,190.0,340.0,NaN,NaN
190.0,180.0,292.0,NaN,NaN
180.0,170.0,308.0,NaN,NaN
170.0,160.0,306.0,NaN,NaN
160.0,150.0,317.0,NaN,NaN
150.0,140.0,351.0,NaN,NaN
140.0,130.0,342.0,NaN,NaN
130.0,120.0,371.0,NaN,NaN
120.0,110.0,378.0,NaN,NaN
110.0,100.0,378.0,NaN,NaN
100.0,90.0,381.0,NaN,NaN
90.0,80.0,390.0,NaN,NaN
80.0,70.0,398.0,NaN,NaN
70.0,60.0,403.0,NaN,NaN
60.0,50.0,377.0,NaN,NaN
50.0,40.0,421.0,NaN,NaN
40.0,30.0,343.0,NaN,NaN
30.0,20.0,362.0,NaN,NaN
20.0,10.0,306.0,NaN,NaN
10.0,0.0,325.0,NaN,NaN
