# Location,Little Cottonwood
# Site,Alta Collins
# PitID,UTLCAC
# Date/Local Time,2020-02-13T13:45
# UTM Zone,12N
# Easting (m),446677
# Northing (m),4491448
# Latitude (deg),40.5721
# Longitude (deg),-111.62997
# Slope (deg),0
# Aspect (deg),0
# Air Temp (deg C),-3.3
# Total Depth (cm),265
# Surveyors,"M. Olsen, S. Clark"
# WISe Serial No,nan
# Weather,Sunny with a few scattered cirrus clouds
# Precip,None
# Sky,Few (< 1/4 of sky)
# Wind,Light
# Ground Condition,Frozen
# Ground Roughness,Smooth
# Ground Vegetation,Grass
# Vegetation Depth,
# Tree Canopy,No Trees
# Comments:,nan
