# Location,CB
# Site,Upper
# PitID,3
# Date/Local Time,2020-02-02T12:15
# UTM Zone,13N
# Easting (m),327535
# Northing (m),4311240
# Latitude (deg),38.93315
# Longitude (deg),-106.98975
# Slope (deg),0
# Aspect (deg),W
# Air Temp (deg C),0
# Total Depth (cm),81
# Surveyors,"AK, GC"
# Weather,nan
# Precip,None
# Sky,Clear
# Wind,Calm
# Ground Condition,Frozen
# Ground Roughness,Smooth
# Ground Vegetation,Grass
# Vegetation Depth,7
# Tree Canopy,Closed (>70%)
# Comments:,Elevation: 3404m
