# Location,CB
# Site,Upper
# PitID,3
# Date/Local Time,2020-02-02T12:15
# UTM Zone,13N
# Easting,327535
# Northing,4311240
# Latitude,38.93315
# Longitude,-106.98975
# Depth (cm),Temperature (deg C)
81.0,-3.0
80.0,-3.7
70.0,-6.3
60.0,-5.9
50.0,-5.2
40.0,-4.6
30.0,-4.0
20.0,-3.4
10.0,-2.6
0.0,-1.8
