# Location,CB
# Site,Aspen
# PitID,1
# Date/Local Time,2020-02-26T15:50
# UTM Zone,13N
# Easting (m),329128
# Northing (m),4310336
# Latitude (deg),38.92532
# Longitude (deg),-106.97115
# Slope (deg),0
# Aspect (deg),NaN
# Air Temp (deg C),-5.2
# Total Depth (cm),117
# Surveyors,AK
# Weather,nan
# Precip,Very Light
# Sky,Overcast(complete cover)
# Wind,Calm
# Ground Condition,Frozen
# Ground Roughness,Rough
# Ground Vegetation,Grass
# Vegetation Depth,12
# Tree Canopy,Closed (>70%)
# Comments:,E 3021
