# Location,Niwot Ridge
# Site,Saddle
# PitID,CONWSA
# Date/Local Time,2020-01-29T10:30
# UTM Zone,13N
# Easting (m),449623
# Northing (m),4434025
# Latitude (deg),40.05497
# Longitude (deg),-105.59065
# Slope (deg),5
# Aspect (deg),0
# Air Temp (deg C),-10
# Total Depth (cm),39
# Surveyors,"K. Hale, S. Ciafone"
# WISe Serial No,nan
# Weather,nan
# Precip,Very Light
# Sky,Overcast(complete cover)
# Wind,Light
# Ground Condition,Frozen
# Ground Roughness,Smooth
# Ground Vegetation,Grass
# Vegetation Depth,True
# Tree Canopy,No Trees
# Comments:,nan
