# Location,NW
# Site,OF 
# PitID,3
# Date/Local Time,2020-01-22T11:00
# UTM Zone,13N
# Easting (m),452909
# Northing (m),4431905
# Latitude (deg),40.03606
# Longitude (deg),-105.55197
# Slope (deg),0
# Aspect (deg),F
# Air Temp (deg C),NaN
# Total Depth (cm),53
# Surveyors,AM
# Weather,nan
# Precip,Very Light
# Sky,Broken (> 1/2 of sky)
# Wind,Strong
# Ground Condition,Frozen
# Ground Roughness,Rough
# Ground Vegetation,"Shrub,Deadfall"
# Vegetation Depth,
# Tree Canopy,Sparse (5-20%)
# Comments:,3092 elevation
