# Location,Grand Mesa
# Site,County Line Tree
# PitID,COGMCT
# Date/Local Time,2020-02-12T10:30
# UTM Zone,12N
# Easting,756712
# Northing,4324540
# Latitude,39.03224
# Longitude,-108.03431
# Top (cm),Bottom (cm),Density A (kg/m3),Density B (kg/m3),Density C (kg/m3)
99.0,89.0,113.0,107.0,NaN
89.0,79.0,176.0,176.0,NaN
79.0,69.0,244.0,227.0,NaN
69.0,59.0,263.0,266.0,NaN
59.0,49.0,275.0,262.0,NaN
49.0,39.0,274.0,268.0,NaN
39.0,29.0,290.0,299.0,NaN
29.0,19.0,297.0,287.0,NaN
19.0,9.0,279.0,293.0,NaN
12.0,2.0,273.0,305.0,NaN
