# Location,Fraser
# Site,JPL #2
# PitID,COFEJ2
# Date/Local Time,2020-02-21T11:45
# UTM Zone,13N
# Easting,424573
# Northing,4417710
# Latitude,39.90612
# Longitude,-105.88242
# Top (cm),Bottom (cm),Density A (kg/m3),Density B (kg/m3),Density C (kg/m3)
111.0,101.0,135.0,154.0,NaN
101.0,91.0,194.0,198.0,NaN
91.0,81.0,239.0,238.0,NaN
81.0,71.0,255.0,249.0,NaN
71.0,61.0,271.0,267.0,NaN
61.0,51.0,268.0,273.0,NaN
51.0,41.0,249.0,249.0,NaN
41.0,31.0,264.0,268.0,NaN
31.0,21.0,276.0,259.0,NaN
21.0,11.0,250.0,NaN,NaN
