# Location,Fraser
# Site,JPL #2
# PitID,COFEJ2
# Date/Local Time,2020-02-21T11:45
# UTM Zone,13N
# Easting (m),424573
# Northing (m),4417710
# Latitude (deg),39.90612
# Longitude (deg),-105.88242
# Slope (deg),0
# Aspect (deg),NaN
# Air Temp (deg C),-1.5
# Total Depth (cm),111
# Surveyors,C. Quant
# WISe Serial No,nan
# Weather,"Very cold morning (-20F), pockets of light cirrus passing over, strong solar"
# Precip,None
# Sky,Clear
# Wind,Calm
# Ground Condition,Frozen
# Ground Roughness,Rough
# Ground Vegetation,"Grass,Deadfall"
# Vegetation Depth,"10,5"
# Tree Canopy,No Trees
# Comments:,"Soil moisture Delta-T Unit  A: 10.7%, 12.8%, 13.0%"
