# Location,Cameron Pass
# Site,Joe Wright
# PitID,COCPJW
# Date/Local Time,2020-03-04T09:27
# UTM Zone,13N
# Easting,424321
# Northing,4486308
# Latitude,40.52405
# Longitude,-105.89345
# Count,HS (cm)
1,147
2,155
3,150
4,152
5,152
6,154
7,164
8,151
9,NaN
