# Location,Grand Mesa
# Site,Skyway Open
# PitID,COGMSO
# Date/Local Time,2020-02-25T15:00
# UTM Zone,12N
# Easting (m),754270
# Northing (m),4325785
# Latitude (deg),39.04415
# Longitude (deg),-108.06202
# Slope (deg),5
# Aspect (deg),135
# Air Temp (deg C),-15.1
# Total Depth (cm),85
# Surveyors,L. Brucker
# WISe Serial No,WIS009A
# Weather,nan
# Precip,None
# Sky,Clear
# Wind,Strong
# Ground Condition,Frozen
# Ground Roughness,Smooth
# Ground Vegetation,Grass
# Vegetation Depth,7-10
# Tree Canopy,No Trees
# Comments:,Some rocks at the bottom
